Code postal;Commune
35001;ACIGNE
14001;ABLON
56001;ALLAIRE
35002;AMANLIS
53003;AMBRIERES LES VALLEES
80021;AMIENS
22002;ANDEL
53005;ANDOUILLE
35003;ANDOUILLE NEUVILLE
49007;ANGERS
14015;ANISY
92002;ANTONY
35005;ARBRISSEL
35006;ARGENTRE DU PLESSIS
29001;ARGOL
56004;ARZAL
56005;ARZON
92004;ASNIERES SUR SEINE
34014;ASSAS
91027;ATHIS MONS
35007;AUBIGNE
31022;AUCAMVILLE
56006;AUGAN
59032;AULNOY LEZ VALENCIENNES
56007;AURAY
14030;AUTHIE
35008;AVAILLES SUR SEICHE
44007;AVESSAC
60033;AVILLY ST LEONARD
49015;AVRILLE
56008;BADEN
35009;BAGUER MORVAN
35010;BAGUER PICAN
35012;BAIN DE BRETAGNE
35013;BAINS SUR OUST
35014;BAIS
59044;BAISIEUX
37018;BALLAN MIRE
29004;BANNALEC
44009;BASSE GOULAINE
35016;BAULON
35019;BAZOUGES LA PEROUSE
35021;BEAUCE
49022;BEAULIEU SUR LAYON
60057;BEAUVAIS
35022;BECHEREL
35023;BEDEE
56011;BEGANNE
22004;BEGARD
56012;BEIGNON
90010;BELFORT
25056;BESANCON
35024;BETTON
14069;BEUVILLERS
14068;BIEVILLE BEUVILLE
22055;BINIC ETABLES SUR MER
44015;BLAIN
41018;BLOIS
35027;BOISGERVILLY
35028;BOISTRUDAN
35029;BONNEMAIN
94011;BONNEUIL SUR MARNE
33063;BORDEAUX
64140;BOUCAU
92012;BOULOGNE BILLANCOURT
22013;BOURBRIAC
35033;BOURG DES COMPTES
35032;BOURGBARRE
18033;BOURGES
35035;BOVEL
53041;BRAINS SUR LES MARCHES
35037;BREAL SOUS MONTFORT
35038;BREAL SOUS VITRE
35039;BRECE
79049;BRESSUIRE
29019;BREST
35040;BRETEIL
91103;BRETIGNY SUR ORGE
14101;BRETTEVILLE SUR ODON
35041;BRIE
38059;BRIE ET ANGONNES
22020;BROONS
35044;BROUALAN
22021;BRUSVILY
35047;BRUZ
78117;BUC
36031;BUZANCAIS
56028;CADEN
14118;CAEN
62193;CALAIS
56031;CAMORS
56032;CAMPENEAC
35049;CANCALE
35050;CARDROC
56033;CARENTOIR
29024;CARHAIX PLOUGUER
56035;CARO
44026;CARQUEFOU
56036;CAUDAN
22032;CAULNES
35051;CESSON SEVIGNE
33122;CESTAS
73065;CHAMBERY
37050;CHAMBRAY LES TOURS
54115;CHAMPIGNEULLES
72058;CHANGE
35054;CHANTELOUP
35055;CHANTEPIE
61093;CHANU
35066;CHARTRES DE BRETAGNE
35067;CHASNE SUR ILLET
35068;CHATEAUBOURG
